_id,Date,Country,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
3502,20210815,S92000003,AstraZeneca (Vaxzevria),,Dose 2,1002,,2046579,,All vaccinations
3503,20210815,S92000003,Moderna (Spikevax),,Dose 1,150,,176417,,All vaccinations
3504,20210815,S92000003,Moderna (Spikevax),,Dose 2,2638,,63516,,All vaccinations
3505,20210815,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,3286,,1747895,,All vaccinations
3506,20210815,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,13429,,1365745,,All vaccinations
3507,20210815,S92000003,Total,,Dose 1,3597,,4062142,,All vaccinations
3508,20210815,S92000003,Total,4439078,Dose 1,1257,0.0283166909885341,4027266,90.7230285207874,18 years and over
3509,20210815,S92000003,Total,2875396,Dose 1,192,0.0066773411384032,2822558,98.1624096298388,40 years and over
3510,20210815,S92000003,Total,4549217,Dose 1,3440,0.0756174084463326,4059432,89.2336417453817,16 years and over
3511,20210815,S92000003,Total,,Dose 2,17069,,3475840,,All vaccinations
3512,20210815,S92000003,Total,4439078,Dose 2,17036,0.383773387176346,3466921,78.1000243744309,18 years and over
3513,20210815,S92000003,Total,2875396,Dose 2,1187,0.0412812704754406,2718960,94.5594971962123,40 years and over
3514,20210815,S92000003,Total,4549217,Dose 2,17069,0.375207425805364,3475749,76.4032359854454,16 years and over
3515,20210816,S92000003,AstraZeneca (Vaxzevria),,Dose 1,156,,2137986,,All vaccinations
3516,20210816,S92000003,AstraZeneca (Vaxzevria),,Dose 2,1158,,2047737,,All vaccinations
3517,20210816,S92000003,Moderna (Spikevax),,Dose 1,173,,176590,,All vaccinations
3518,20210816,S92000003,Moderna (Spikevax),,Dose 2,1981,,65497,,All vaccinations
3519,20210816,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,3447,,1751342,,All vaccinations
3520,20210816,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,11504,,1377249,,All vaccinations
3521,20210816,S92000003,Total,,Dose 1,3776,,4065918,,All vaccinations
3522,20210816,S92000003,Total,4439078,Dose 1,1444,0.0325292774760885,4028710,90.7555577982635,18 years and over
3523,20210816,S92000003,Total,2875396,Dose 1,229,0.00796412042028298,2822787,98.1703737502591,40 years and over
3524,20210816,S92000003,Total,4549217,Dose 1,3583,0.0787608065300029,4063015,89.3124025519117,16 years and over
